short_name,nationality_name,pace,shooting,passing,dribbling,defending,attacking_crossing,attacking_finishing,skill_long_passing,skill_ball_control,movement_acceleration,movement_agility,power_shot_power,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_reflexes,goalkeeping_speed
C. Townsend,England,71,46,65,68,69,72,44,57,68,68,69,47,74,68,8,10,8,
F. Gutiérrez,Chile,65,69,73,75,60,69,66,71,78,68,80,73,66,53,11,6,14,
Y. Touzghar,Tunisia,71,73,61,72,24,51,76,57,72,69,82,71,20,21,14,14,12,
S. Kitsiou,Greece,77,61,66,72,69,63,54,68,70,78,74,75,75,72,9,9,14,
J. Blaswich,Germany,,,,,,20,18,34,31,47,31,50,15,13,71,70,76,43
T. Trybull,Germany,58,47,64,67,71,57,35,68,67,65,69,58,70,70,15,13,6,
C. Musonda,Belgium,78,63,69,79,24,72,63,67,78,83,88,70,20,22,6,6,9,
I. Gelios,Greece,,,,,,12,8,17,20,49,41,46,15,14,74,69,74,46
Juan Carlos,Spain,63,65,73,73,56,69,67,72,75,68,70,58,59,41,8,11,8,
Diogo Figueiras,Portugal,82,60,66,74,65,72,50,66,72,82,85,75,65,66,13,12,16,
P. Bauer,Germany,32,45,53,46,74,46,36,61,56,33,40,71,73,72,12,14,11,
M. Dupé,France,,,,,,10,10,29,22,48,35,47,11,11,74,71,75,46
Rubén Pardo,Spain,53,69,75,72,64,62,68,75,75,55,69,70,72,62,7,13,7,
Hervías,Spain,80,67,68,74,62,71,66,65,70,80,82,74,53,57,7,12,8,
Y. Yotún,Peru,64,66,75,73,66,77,65,74,69,67,84,75,63,66,7,8,7,
R. Álvarez,Argentina,64,67,77,80,55,75,59,74,81,68,83,82,61,55,5,11,10,
R. Baca,Mexico,76,60,71,72,61,65,57,71,73,76,81,71,70,69,10,7,12,
Vadillo,Spain,83,68,67,75,34,70,66,61,75,84,84,76,26,25,6,7,7,
Diego Oliveira,Brazil,76,72,69,71,38,68,72,73,74,73,63,74,26,23,14,8,7,
David Ferreiro,Spain,85,68,72,75,37,73,70,72,72,87,89,67,23,36,6,11,15,
Igor Rossi,Brazil,41,30,54,53,72,44,25,61,62,45,33,43,71,72,16,13,9,
J. Kopic,Czech Republic,76,70,70,71,36,74,67,64,70,77,75,75,38,31,11,14,6,
Vako,Georgia,72,71,66,77,36,64,69,60,76,68,73,74,36,25,8,9,12,
M. Krmenčík,Czech Republic,68,72,59,68,27,55,75,44,72,60,66,72,25,20,7,7,13,
Álvaro Lemos,Spain,81,64,65,70,65,69,60,59,71,83,76,74,63,64,12,13,16,
J. Price,England,48,47,73,65,63,70,37,78,67,53,71,57,64,61,14,9,9,
Dener,Brazil,65,67,68,70,71,59,66,69,72,67,64,76,72,69,15,8,14,
C. Atsu,Ghana,82,66,68,75,34,68,63,61,72,86,86,72,33,32,13,12,9,
G. Brugman,Uruguay,69,59,73,73,60,64,50,77,74,73,83,68,60,57,10,15,11,
S. Denswil,Netherlands,53,56,66,65,72,58,46,70,68,54,59,76,71,71,11,14,9,
N. Murru,Italy,71,40,61,69,70,72,30,61,70,71,68,57,72,71,5,5,5,
I. Kiese Thelin,Sweden,58,71,61,66,37,46,74,59,68,48,63,71,25,20,11,16,8,
J. Murphy,England,78,67,68,74,61,74,64,60,72,77,75,73,66,54,13,16,6,
Júnior Urso,Brazil,67,64,64,70,69,51,62,70,73,65,59,74,72,70,9,11,12,
Bigas,Spain,66,52,59,61,72,68,49,60,66,66,62,62,73,68,15,14,11,
J. Dudziak,Tunisia,75,62,72,77,65,69,61,72,76,82,90,66,68,67,13,12,13,
T. Dingomé,France,63,64,72,74,66,71,60,71,74,62,80,70,68,66,6,11,10,
F. Boli,Côte d'Ivoire,76,72,48,70,27,36,80,43,69,78,70,72,19,17,16,12,11,
P. Hofmann,Germany,55,73,50,60,34,31,75,43,68,46,46,83,38,21,14,10,15,
M. Hedges,United States,42,28,51,53,71,26,23,70,63,47,55,40,71,65,10,16,12,
J. Świerczok,Poland,72,72,50,72,26,37,74,35,73,74,75,70,26,22,12,10,14,
Cristiano,Brazil,77,71,69,69,51,70,70,65,71,78,73,75,46,36,13,8,8,
A. González,Venezuela,80,65,64,71,66,71,65,59,68,78,77,68,64,62,13,13,13,
A. Jung,Germany,72,60,66,65,72,65,54,67,68,70,64,72,74,67,11,13,10,
T. Rogić,Australia,66,71,70,74,50,61,68,71,77,67,64,78,53,43,12,11,11,
Aitor García,Spain,84,71,67,72,37,66,68,65,71,82,82,78,35,34,9,16,9,
A. González,Mexico,74,69,73,71,68,71,67,70,75,76,75,71,72,70,11,15,9,
M. Frey,Switzerland,62,74,61,66,36,48,74,58,72,58,60,76,30,22,10,14,14,
D. Kourbelis,Greece,75,52,63,67,70,56,45,69,69,73,66,65,73,71,7,7,11,
O. Boumal,Cameroon,85,66,68,72,44,73,64,63,71,86,80,70,38,39,14,10,11,
L. Kübler,Germany,75,45,57,62,71,67,38,53,62,69,66,55,74,74,12,14,8,
M. Dijks,Netherlands,67,40,65,65,71,72,30,69,68,65,47,61,74,70,11,9,13,
S. Holmén,Sweden,55,36,49,51,74,34,30,63,58,62,56,57,75,72,15,10,9,
A. Mühling,Germany,62,69,71,74,57,67,68,70,75,65,73,73,58,57,9,12,7,
S. Schrijvers,Belgium,68,72,72,73,52,69,73,70,74,70,78,73,52,50,8,6,14,
T. Letschert,Netherlands,52,57,63,60,70,62,52,63,63,49,64,70,73,70,9,12,11,
Quini,Spain,73,60,65,71,69,74,62,57,73,72,70,61,75,73,14,13,9,
R. Strebinger,Austria,,,,,,15,14,21,20,37,39,47,13,12,71,64,77,37
H. Mukhtar,Germany,78,65,70,75,44,68,65,64,75,74,87,70,42,44,15,10,12,
T. Murg,Austria,80,70,70,74,40,67,72,68,74,83,81,69,44,38,14,12,6,
I. Mbaye,Senegal,68,49,64,68,71,70,35,64,68,67,70,69,72,72,15,7,9,
João Teixeira,Portugal,68,66,70,74,36,64,66,72,76,69,73,71,35,31,14,16,16,
K. Peterson,Sweden,82,73,66,75,33,66,70,64,76,81,82,77,24,32,16,15,11,
A. Touré,France,39,56,59,58,74,48,41,70,70,40,30,76,77,74,8,15,7,
João Schmidt,Brazil,48,60,70,68,70,67,48,72,73,45,54,72,68,70,11,11,10,
B. Verstraete,Belgium,68,60,71,72,67,67,48,73,70,73,80,78,66,66,11,14,12,
José Mari,Spain,65,60,67,66,68,58,49,67,70,68,63,75,74,66,8,14,14,
B. Osborn,England,71,65,71,72,66,70,61,68,72,73,80,73,69,67,10,11,15,
D. Lenihan,Republic of Ireland,67,46,56,58,72,50,40,60,59,66,61,54,74,73,11,6,15,
G. Lapadula,Peru,72,71,57,74,24,50,74,34,74,72,78,70,15,18,9,15,12,
M. Benassi,Italy,55,70,71,75,70,68,66,73,78,55,72,80,72,70,11,7,14,
R. Durmisi,Denmark,75,61,70,72,69,72,53,63,71,74,72,79,70,70,10,6,11,
Luiz Phellype,Brazil,52,75,60,68,30,62,74,47,71,52,58,81,34,22,13,10,13,
Álex Gallar,Spain,74,69,69,72,42,67,70,66,71,75,76,67,36,25,16,13,7,
A. Semenov,Russia,53,40,57,60,73,50,36,69,70,55,43,55,78,74,11,8,15,
D. Kądzior,Poland,75,68,71,72,46,74,67,72,72,76,79,72,41,42,8,10,9,
T. Boyd,United States,85,71,64,75,18,66,71,44,72,86,83,79,14,12,8,7,7,
R. Czichos,Germany,59,48,59,62,72,56,42,67,65,52,60,65,75,72,8,7,9,
A. Voglsammer,Germany,79,74,65,69,38,64,73,53,71,74,65,85,34,23,12,9,8,
R. Berić,Slovenia,57,72,64,66,38,52,74,65,70,60,58,73,30,23,16,11,16,
J. Bela,Angola,91,70,63,74,37,71,69,61,74,91,91,77,27,29,8,15,15,
C. Højer,Denmark,77,68,72,69,65,74,64,69,70,78,70,82,66,63,14,12,11,
M. Lowe,England,79,46,63,72,69,64,41,66,73,78,70,62,74,69,12,11,9,
A. Jahović,North Macedonia,65,73,50,65,33,36,75,43,67,64,60,77,25,19,10,14,8,
P. Sisto,Denmark,70,70,70,78,47,70,70,65,76,72,80,75,55,48,12,6,11,
N. Storm,Belgium,76,67,68,72,36,72,65,65,71,78,74,72,32,24,13,10,9,
D. Nistor,Romania,63,67,72,70,61,67,62,74,70,63,82,75,63,58,9,13,14,
Iuri Medeiros,Portugal,74,65,70,79,34,71,58,65,77,79,86,70,31,26,7,8,12,
J. Meffert,Germany,54,48,64,66,71,52,42,68,70,53,63,57,73,69,8,13,8,
M. Chanot,Luxembourg,51,49,48,50,71,24,38,60,61,52,54,73,74,72,8,16,8,
F. Aristeguieta,Venezuela,51,73,55,67,42,50,77,49,74,47,67,69,43,40,10,14,12,
Kwon Kyung Won,Korea Republic,64,39,61,60,72,55,34,71,61,67,69,55,75,72,15,13,10,
D. Rolán,Uruguay,78,69,70,73,43,73,69,66,72,76,82,72,39,35,14,7,14,
L. Öztunalı,Germany,81,68,67,74,48,67,65,63,73,79,74,74,48,49,10,16,9,
I. Tajouri-Shradi,Libya,82,70,64,75,33,65,71,57,74,86,88,75,32,32,15,12,14,
J. Osorio,Canada,60,68,70,74,64,60,69,68,73,62,83,71,65,55,8,11,13,
N. Poulsen,Denmark,61,45,66,65,69,63,41,66,69,67,70,54,70,67,6,13,11,
M. Gersbeck,Germany,,,,,,18,17,40,24,41,39,46,16,15,67,74,72,42
A. Ruiz,Argentina,54,72,74,75,34,74,69,71,76,58,70,80,33,31,7,7,16,
P. McNair,Northern Ireland,63,62,65,67,73,64,58,66,68,64,62,69,74,71,14,8,14,
A. Rocha,Mexico,70,64,70,72,69,60,60,70,73,71,69,75,72,64,13,13,9,
A. Selikhov,Russia,,,,,,16,14,35,25,33,35,53,18,18,72,69,74,39
Arsénio,Portugal,74,66,68,74,40,70,67,63,75,75,72,68,46,36,9,8,12,
A. Fransson,Sweden,68,64,68,72,67,62,60,70,73,66,76,70,68,65,10,7,11,
M. Uhre,Denmark,89,69,50,68,33,41,73,41,68,87,73,72,32,28,11,15,14,
C. Suárez,Chile,70,38,62,62,72,62,33,69,65,62,68,45,73,74,9,12,14,
K. Junker,Denmark,85,71,56,68,33,44,76,54,70,84,72,70,28,23,14,11,9,
D. Biraschi,Italy,58,35,56,62,75,49,31,60,69,63,56,50,78,75,15,9,12,
Y. Candelo,Colombia,82,65,70,74,55,70,62,67,73,80,84,72,54,54,8,12,14,
D. Bocanegra,Colombia,67,55,68,65,71,71,42,65,70,64,64,72,70,67,13,13,14,
C. Baeza,Chile,69,67,69,72,68,65,66,73,73,66,71,71,70,70,13,7,7,
F. Hinestroza,Colombia,90,63,67,74,43,70,54,63,70,84,86,76,29,53,6,10,9,
M. Piedrahita,Colombia,73,63,70,70,66,70,59,68,73,70,68,68,67,68,10,9,9,
L. Villalba,Argentina,82,56,69,70,66,75,50,66,71,81,76,67,65,64,8,10,15,
L. Villafañez,Argentina,76,67,71,74,34,70,67,69,73,77,77,70,31,29,9,7,9,
M. Ibáñez,Argentina,,,,,,15,8,18,14,38,33,49,18,17,71,72,70,39
E. Brítez,Argentina,74,51,59,63,71,64,45,66,63,73,69,75,72,77,8,11,7,
B. Alemán,Uruguay,72,71,74,72,65,71,65,73,74,69,75,81,66,64,9,8,7,
D. Braghieri,Argentina,58,49,50,56,71,28,35,59,66,61,44,72,72,72,7,9,7,
E. Zelaya,Argentina,72,75,58,63,33,64,77,42,62,72,59,75,29,34,10,10,10,
P. Pérez,Argentina,56,66,73,71,69,69,63,71,75,59,66,74,72,69,10,7,14,
E. Kalinski,Argentina,60,51,70,69,69,60,45,71,72,66,60,59,70,68,7,6,8,
E. Insúa,Argentina,73,58,62,67,70,64,55,65,67,71,67,72,72,71,8,11,8,
A. Donatti,Argentina,40,59,53,52,73,38,53,63,60,37,43,77,72,71,13,10,12,
L. Jara,Argentina,70,51,65,69,68,69,41,69,71,67,67,64,70,72,8,14,6,
D. Fisher,England,79,26,52,65,69,63,20,50,64,78,72,32,73,72,12,14,6,
M. Miazga,United States,51,26,47,58,73,25,18,62,66,53,57,35,72,70,10,7,15,
Unai García,Spain,60,41,59,54,73,54,39,62,66,57,50,57,77,74,12,13,9,
C. Brunner,Switzerland,74,56,62,65,71,65,54,59,66,68,63,66,73,66,8,7,15,
Filipe Ferreira,Portugal,72,53,65,68,67,73,48,61,70,73,70,68,67,70,12,10,13,
Marlon,Brazil,64,44,59,66,73,43,40,68,71,63,59,61,72,74,8,15,12,
C. Strandberg,Sweden,82,73,53,63,25,50,76,46,67,73,42,79,26,16,9,12,13,
D. Musto,Argentina,44,49,65,61,69,54,34,74,64,40,49,70,75,63,11,14,9,
R. Dugimont,France,59,75,70,71,40,72,77,67,71,56,78,75,29,26,6,7,12,
P. Mwene,Austria,78,43,61,71,66,72,42,53,68,83,82,48,69,71,12,9,7,
A. Gunn,England,,,,,,14,15,41,27,48,40,52,16,14,73,70,74,48
P. Gerkens,Belgium,57,70,70,70,65,71,71,69,70,61,68,71,63,57,12,10,13,
D. Antolić,Croatia,60,69,74,69,68,75,67,75,71,59,62,72,68,66,13,14,8,
Erik,Brazil,83,72,65,74,23,62,72,62,72,85,85,73,16,21,14,9,11,
D. Hotto,Namibia,81,73,73,71,29,76,74,75,67,83,81,73,25,23,16,9,10,
Carlos Mané,Portugal,88,68,65,78,41,65,65,60,71,90,90,77,34,33,16,14,11,
J. Abella,Mexico,73,49,63,62,67,67,42,61,67,74,68,62,70,70,9,10,15,
L. Lerager,Denmark,55,66,68,68,70,62,66,71,72,54,60,70,70,66,7,7,13,
Sandro,Spain,64,75,65,76,30,65,70,59,78,68,76,84,25,24,12,16,8,
A. Martín Arias,Argentina,,,,,,20,19,22,22,58,44,51,18,16,73,69,75,52
J. Laurent,England,77,60,64,70,69,59,59,68,72,76,72,65,71,69,14,8,16,
C. Arango,Colombia,74,72,64,72,33,45,77,65,73,73,68,70,21,16,6,14,13,
J. Byrne,Republic of Ireland,75,68,72,73,52,73,68,71,71,77,83,70,53,51,7,8,6,
S. Vittor,Argentina,45,61,66,62,71,57,54,73,70,38,46,75,72,72,9,13,16,
J. Izquierdo,Colombia,80,68,67,76,38,72,63,61,75,84,86,78,21,30,13,8,13,
Camarasa,Spain,58,72,72,73,68,68,70,71,74,60,71,80,70,68,14,9,8,
Cantero,Spain,,,,,,19,12,38,21,61,69,50,12,19,71,74,73,59
C. Hountondji,Benin,41,33,52,56,73,47,28,58,68,38,52,48,75,70,6,11,15,
Marcos Mauro,Argentina,55,42,55,54,73,45,39,62,64,54,32,50,76,73,16,11,12,
Bruno Varela,Portugal,,,,,,20,16,25,25,37,59,47,12,20,74,69,75,39
T. Didillon,France,,,,,,21,13,28,22,57,55,50,18,20,74,68,74,56
M. Aramu,Italy,74,63,70,74,52,66,57,68,75,69,80,70,52,48,8,6,15,
S. Scuffet,Italy,,,,,,20,20,34,21,50,60,45,24,18,72,69,79,50
G. Tutino,Italy,77,72,71,75,35,70,70,68,75,77,76,75,34,34,15,7,7,
J. Sornoza,Ecuador,72,68,72,72,40,68,68,71,73,73,70,67,29,30,14,11,12,
A. Čolak,Croatia,71,73,55,67,34,47,77,42,69,67,64,69,31,20,16,7,10,
J. Narváez,Colombia,78,73,66,74,55,65,72,68,74,77,74,76,61,52,10,12,14,
A. El Messaoudi,Morocco,65,71,66,75,64,50,71,73,77,61,63,78,63,61,10,9,7,
R. Vloet,Netherlands,66,73,70,70,49,65,76,66,73,62,63,74,42,33,13,9,16,
G. Poblete,Argentina,67,51,65,68,67,52,47,72,69,68,77,59,66,62,6,12,8,
J. Stacey,England,75,55,66,70,68,72,51,61,70,74,73,62,71,69,6,11,13,
M. Al Buraik,Saudi Arabia,80,57,71,69,64,78,55,68,72,76,65,64,65,69,10,9,9,
R. Hollingshead,United States,58,63,66,69,70,65,61,67,70,52,61,76,72,69,23,17,17,
N. Leiva,Spain,83,70,68,73,27,66,70,64,70,84,85,73,22,17,8,11,13,
M. Clarke,England,53,37,54,62,72,45,30,60,61,51,47,57,72,70,11,6,11,
E. Crivelli,France,63,70,62,67,36,53,69,59,71,56,61,78,34,23,6,12,9,
M. Sobottka,Germany,71,57,63,66,71,58,56,67,68,66,65,62,73,71,11,13,14,
E. Thommy,Germany,76,70,71,75,33,77,69,62,73,81,86,73,37,31,6,11,15,
C. Gruezo,Ecuador,61,46,61,67,68,43,41,69,70,68,78,61,71,73,9,10,11,
J. Fulton,Scotland,65,55,62,68,72,54,53,68,72,67,69,67,75,75,11,11,7,
L. Morgan,Scotland,84,65,69,72,52,74,63,58,69,86,85,70,60,53,14,6,13,
Kang Hyeon Mu,Korea Republic,,,,,,14,16,22,10,42,32,49,20,15,73,67,78,44
P. Michorl,Austria,67,66,75,72,65,78,60,73,73,68,72,74,66,58,10,11,16,
L. Di Plácido,Argentina,86,60,63,74,65,70,57,63,72,87,79,69,70,72,10,16,7,
Cao Yunding,China PR,84,64,71,70,34,74,63,70,69,83,83,66,28,32,9,10,15,
J. Prior,France,,,,,,13,16,40,22,48,35,51,14,13,71,69,76,51
B. Mensah,Ghana,77,70,71,74,62,64,68,69,76,80,75,80,62,42,15,13,11,
Sivera,Spain,,,,,,22,15,34,26,58,61,51,17,12,72,70,72,57
O. Hüsing,Germany,47,32,46,50,73,38,24,37,57,34,43,55,73,71,16,13,11,
L. Zingerle,Germany,,,,,,11,7,13,20,38,38,50,9,10,70,69,75,42
S. Griesbeck,Germany,64,47,60,56,73,52,39,67,53,54,53,60,73,75,7,12,13,
Kang Sang Woo,Korea Republic,82,64,70,68,65,74,62,62,64,81,82,79,67,65,12,16,9,
R. Ledson,England,64,55,70,66,67,64,55,73,69,62,68,59,70,68,14,16,11,
A. Blin,France,40,55,66,64,70,62,52,67,65,44,64,60,71,70,13,6,8,
H. Yamaguchi,Japan,77,68,68,70,68,57,67,71,70,78,78,73,69,65,11,15,9,
Ö. Şahiner,Turkey,81,67,68,73,63,70,62,66,72,80,81,75,69,69,13,12,9,
Jorge Meré,Spain,68,30,53,64,73,30,22,65,68,59,66,48,73,71,15,12,8,
J. Báez,Paraguay,70,54,65,66,72,62,54,65,63,71,73,56,72,70,10,15,10,
F. Cristaldo,Argentina,75,67,69,73,60,59,68,70,72,76,77,69,64,60,14,12,14,
Y. Erdoğan,Turkey,90,68,65,75,59,72,64,54,73,89,87,78,62,59,11,12,9,
A. Briançon,France,52,47,57,53,72,37,34,66,60,60,51,70,72,67,15,7,12,
R. Dickie,England,54,44,51,59,72,51,32,56,65,53,55,64,73,74,12,7,7,
C. Ortiz,Argentina,76,69,67,71,42,49,73,68,74,76,70,65,32,33,8,9,7,
F. Tănase,Romania,75,72,71,70,50,70,73,71,71,76,80,72,52,52,8,16,7,
N. Acevedo,Argentina,64,55,74,72,63,66,47,77,71,68,76,68,65,70,6,9,15,
P. Martinez,France,62,45,63,68,73,66,39,70,66,61,69,52,74,72,11,14,16,
I. Rossi,Argentina,69,52,64,66,69,55,44,67,67,69,61,61,75,77,7,12,14,
T. Baumgartl,Germany,63,34,55,50,72,33,26,67,57,59,45,60,73,72,13,15,11,
S. Ernst,Germany,74,60,69,75,56,61,61,71,77,78,82,65,54,57,11,7,9,
Granell,Spain,61,71,77,69,66,73,69,76,69,65,69,73,68,69,6,13,14,
M. Schulz,Germany,66,69,65,71,71,56,68,68,75,62,68,69,75,68,13,11,13,
D. Furlong,England,74,36,60,69,69,69,35,57,72,72,71,36,69,70,14,13,8,
S. Mugoša,Montenegro,64,74,51,68,24,32,78,45,74,61,64,71,22,19,16,15,9,
Sergi Canós,Spain,71,69,67,74,54,72,70,59,72,74,78,71,58,50,7,8,15,
D. Martínez,Argentina,74,65,64,72,67,72,63,62,72,75,72,71,69,70,11,10,10,
T. Goiginger,Austria,87,68,70,72,35,71,70,65,72,87,75,70,28,37,9,10,8,
M. Doumbia,Mali,81,67,67,74,38,67,67,65,73,81,80,72,37,44,8,12,8,
A. Buksa,Poland,68,71,56,68,31,47,75,44,71,66,64,74,23,21,7,13,14,
L. Mancuso,Italy,76,72,62,74,34,62,75,57,73,72,81,71,22,20,5,12,11,
A. Lusamba,France,71,65,72,76,65,72,67,69,77,72,81,68,68,66,9,8,12,
K. Bielik,Poland,59,45,64,69,71,49,33,73,69,54,65,62,71,67,15,7,8,
K. Diks,Netherlands,75,52,59,69,68,69,48,62,70,77,75,58,64,61,7,15,15,
Guilherme Sityá,Brazil,82,44,68,70,65,71,30,66,70,81,79,64,67,66,9,7,7,
M. Sylla,Senegal,76,72,61,71,37,57,74,41,70,77,74,73,42,37,9,16,11,
M. Busch,Germany,84,49,62,68,66,73,40,55,68,85,73,75,69,65,9,6,7,
J. Butez,France,,,,,,14,17,33,31,49,37,56,12,13,72,71,73,45
J. Tagueu,Cameroon,70,70,58,70,29,59,74,51,72,70,67,74,23,21,14,12,14,
Serginho,Brazil,68,75,72,71,43,65,76,70,73,63,65,76,50,53,14,8,6,
A. Oğuz,Turkey,78,59,68,71,67,64,52,69,69,75,76,68,71,69,6,8,15,
I. Akhmetov,Russia,75,58,72,76,61,63,60,77,73,74,80,57,62,55,8,14,12,
K. Grant,England,86,73,62,72,33,66,75,43,72,85,73,73,23,24,11,10,14,
K. Ehizibue,Nigeria,85,57,63,70,66,65,54,66,70,86,67,70,68,69,13,10,11,
R. Manning,Republic of Ireland,67,60,68,70,68,71,58,64,70,66,73,63,70,65,12,6,12,
Á. González,Argentina,84,69,64,73,48,66,71,60,70,85,79,75,48,33,9,10,16,
Sabin Merino,Spain,72,71,65,69,51,65,74,62,71,66,65,68,55,43,13,8,13,
R. Gudiño,Mexico,,,,,,21,17,22,23,45,31,47,14,19,72,72,74,47
M. Fares,Algeria,76,62,67,75,67,75,59,60,75,72,77,68,71,72,8,12,14,
F. Sambueza,Argentina,75,66,73,73,37,74,72,71,71,77,79,60,34,44,13,16,12,
B. Nieuwkoop,Netherlands,76,43,65,66,69,67,34,70,70,74,63,65,71,67,8,11,16,
M. Lainez,Mexico,85,61,66,73,54,70,60,60,68,85,82,70,52,53,6,8,10,
B. Perlaza,Colombia,58,51,59,61,73,51,48,62,58,55,58,66,72,63,15,12,15,
J. Laso,Argentina,64,41,51,55,69,42,37,52,58,56,55,55,64,74,10,13,7,
V. Malcorra,Argentina,75,65,73,75,59,70,61,70,74,76,78,78,60,51,7,15,14,
M. Martínez,Argentina,63,54,64,64,71,53,39,73,67,58,57,75,72,68,11,15,12,
H. Veerman,Netherlands,73,71,47,58,30,29,77,42,65,67,34,76,18,21,16,15,11,
D. Viera,Paraguay,33,27,44,49,73,34,21,46,51,36,47,41,74,70,15,9,7,
J. Siebatcheu,United States,66,71,59,70,29,52,76,51,72,67,64,72,18,24,14,10,6,
B. Ramselaar,Netherlands,83,67,66,75,52,62,67,66,75,85,81,68,53,43,7,10,12,
J. Cullen,Republic of Ireland,69,55,71,71,68,69,50,71,73,72,72,61,71,69,9,12,9,
C. Ikonomidis,Australia,80,68,66,74,51,67,70,65,74,81,86,67,49,52,10,7,15,
A. Aguilar,Paraguay,,,,,,12,17,23,20,46,40,52,15,19,76,69,75,46
J. Laporte,France,51,27,44,51,72,26,19,53,62,51,46,41,73,70,14,6,14,
M. Andersen,Denmark,47,34,45,50,73,35,32,56,58,52,44,45,73,72,15,13,15,
P. Pentz,Austria,,,,,,19,13,20,25,52,62,55,19,18,70,68,74,53
G. Prömel,Germany,65,64,66,70,71,58,63,72,72,65,66,71,77,74,8,14,6,
G. Holtmann,Philippines,94,64,63,70,57,68,60,62,70,93,73,75,59,50,8,8,8,
D. Bertaud,France,,,,,,14,15,25,25,52,35,49,17,21,73,69,75,53
L. Görtler,Germany,68,65,72,70,57,74,67,73,72,67,70,65,58,51,11,15,14,
F. Sierralta,Chile,53,30,50,53,70,57,30,45,63,52,51,38,67,70,12,10,13,
R. Nyambe,Namibia,81,33,58,69,68,67,32,59,66,81,73,34,70,68,8,16,10,
Kevin,Spain,68,53,65,65,68,72,55,61,73,67,44,54,73,74,11,15,14,
Y. Mutō,Japan,78,71,66,76,41,68,73,54,74,79,76,72,33,30,7,15,14,
D. Zhivoglyadov,Russia,76,51,62,68,69,69,48,54,68,77,73,69,69,70,7,14,14,
Aleix García,Spain,65,67,72,74,59,60,67,76,75,68,75,72,63,57,16,8,7,
S. Iljutcenko,Russia,74,72,51,66,36,50,78,39,70,72,66,75,44,22,10,16,9,
J. Berthomier,France,69,69,75,74,51,78,66,75,74,70,77,71,51,53,14,14,14,
B. Peacock-Farrell,Northern Ireland,,,,,,14,11,29,30,54,40,54,20,20,73,70,75,53
T. Ouwejan,Netherlands,71,53,70,71,68,70,46,69,71,69,70,66,69,64,7,12,12,
C. Tabó,Uruguay,86,66,63,75,31,62,71,60,75,88,88,71,26,29,6,8,14,
Y. El Jebli,Morocco,66,69,75,74,40,77,68,76,76,69,73,70,36,24,7,12,11,
V. Mogoș,Romania,83,60,63,65,68,66,55,60,66,85,71,72,71,65,13,8,10,
J. Rodon,Wales,58,29,49,57,74,34,23,60,62,54,47,43,74,71,10,13,8,
Amilton,Brazil,88,68,63,72,33,67,68,59,69,87,83,77,27,30,14,12,11,
M. Vlap,Netherlands,59,74,69,70,47,64,75,65,73,65,68,72,36,34,10,12,11,
Á. Montero,Colombia,,,,,,20,18,21,24,42,32,50,18,14,73,69,72,43
A. Desmas,France,,,,,,18,18,20,19,28,26,53,17,11,75,74,71,29
Sergi Guardiola,Spain,73,72,60,71,30,52,73,41,76,70,77,74,19,18,11,14,11,
G. Akkan,Turkey,,,,,,15,15,26,11,48,49,51,15,19,70,69,80,48
C. Dájome,Colombia,83,64,62,72,52,66,69,62,71,84,80,66,63,40,10,13,5,
N. Benedetti,Colombia,73,67,68,74,45,59,67,67,75,75,73,72,49,38,7,7,6,
B. Tetteh,Ghana,78,67,53,70,24,43,70,52,72,75,66,66,12,17,10,9,12,
E. Kwateng,France,63,37,63,69,71,70,32,66,71,62,69,43,74,72,6,15,13,
Sacramentinho,Brazil,,,,,,18,14,15,32,45,43,54,19,15,74,68,71,45
Heitor Gesse,Brazil,78,55,66,64,69,72,48,58,64,74,62,67,62,69,13,10,13,
Túlio Changas,Brazil,,,,,,12,14,29,19,45,50,56,14,19,72,71,73,43
Alam Araújo,Brazil,73,51,64,67,72,71,55,71,62,71,70,51,73,73,12,8,11,
Fabiano Sonta,Brazil,46,41,56,53,74,39,33,65,50,43,69,54,73,65,7,11,9,
Ailton Valpaços,Brazil,64,58,60,63,71,47,42,67,66,69,68,79,75,77,8,13,10,
Guto Milazar,Brazil,73,40,61,64,70,67,22,73,58,74,76,67,71,73,5,12,9,
Sebas Couteira,Brazil,74,62,72,74,42,76,70,59,76,75,67,52,52,41,15,13,9,
Kauã Abranches,Brazil,84,64,67,73,51,72,64,58,73,87,79,63,58,57,8,10,19,
Gustavo Lobateiro,Brazil,77,65,68,72,33,67,67,61,68,76,77,63,28,29,8,9,15,
Evandro Rochedo,Brazil,55,75,60,70,36,57,75,55,74,59,63,79,44,45,9,15,11,
Santi da Bruma,Brazil,86,70,73,76,37,73,73,70,75,88,88,61,33,32,15,13,11,
André Milazisco,Brazil,,,,,,9,7,13,21,33,38,47,9,8,77,64,77,34
Teixe Gaúcho,Brazil,73,50,63,67,71,71,51,66,68,71,70,45,69,68,15,11,6,
